id,alias
0QvWVbRHAvI-0qbx38TSZA,f45-soda-row-south-jordan
rMf0VzzBXQy_PpFa0ADBBw,kyu-shin-ryu-karate-south-jordan
WOeVx7k4iEC6sTwtlRitWQ,rumble-boxing-riverton-2
d_x3UQ67soDQUNW1kj-z1Q,coach-sav-fitness-south-jordan
QYUflwESFmst9e3-lbYW9Q,vasa-fitness-south-jordan-south-jordan-3
R93CAH5jhcNKkfjgdX30Hg,club-pilates-south-jordan
cplSCBbqRs_cRkVhFuulKA,hotworx-south-jordan-south-jordan
KjygluPj9SRIVZQDyeH5ZA,upgrade-labs-riverton
A6MsE65RIOzyw4lMnO7HVw,impact-strong-south-jordan
UTJElg2L3fIF5nU6or5Yeg,f45-training-soda-row-south-jordan
Y9MSElbrbVM2Q7HDgKpM2g,lodo-chair-massage-salt-lake-city-3
ygls6VE_et-6jMAgdIhfuA,
IWQ0hnR9WY21qS4EzR8uDg,hotworx-west-jordan-west-jordan
Zwvlfsh18HFWTWWc9bko-A,trumotion-martial-arts-west-jordan-west-jordan
9q0OHCPucN_D3LQ4Ejcd8Q,the-hitfit-gym-riverton-2
md0ezbgcuMnNRc_DfkwzAg,pursuit-of-mastery-west-coast-world-martial-arts-west-jordan
46kbjMmRXUJ5OPRF31rBvw,world-martial-art-riverton
dn5vebWKd5NYKaGm5v_iSQ,f45-training-south-valley-riverton
YFvZSPBdjf4uU9BWY7fIVw,monk-wise-martial-arts-academy-west-jordan
vQIOFfXTndqeXTixAbJixQ,jin-kwon-tae-kwan-do-south-jordan
JCAN-9h2kbDYqnt27AzyFQ,vasa-fitness-riverton-riverton-3
uQrjlhE4XKuRV_Fy_xv3YQ,
sx1XW8xYkAvx-vLEb77j6g,atlas-combat-sports-riverton
ZKPNuYxqLNtQ-6Ukew-hdQ,black-diamond-tae-kwon-do-riverton
w0kZUYwEhJZfTAfDkLlzJg,bfit-west-jordan-2
gMwyp7GHZjDvPFFMITLP9g,thomas-the-trainer-personal-training-south-jordan-2
I-rAJdTgXS6-U-0K1iZeUQ,the-movement-training-day-west-jordan
2mvzi1u-gtwz0QGYN1hY4Q,
QO2gJNW4C2z2EJcW1t_OCg,core-7-fitness-salt-lake-city
w_5-eZPjnLuaF6EicFpihw,
0r1zTuZEEet6Q2SgEkJBug,reflection-yoga-and-wellness-riverton
msRqEbhu0BKtpEbGf4BMYg,flying-tiger-self-defense-west-jordan
TSwe3X4vG4VBEto-9tai5Q,vasa-fitness-herriman-herriman
kHhEHmunSB7cYSZeFQo3Cg,infusion-yoga-and-pilates-bountiful
XdBEgFrcnpWl_fvn6Myr4w,eōs-fitness-bountiful
6S_AGvxCWfnPc3IAhE0cyw,orangetheory-fitness-bountiful-2
