name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
Ironground Gym,84107,40.664815,-111.8999895,5.0,5,gyms,0,68464.98048068078,37548.0,73469.0,6241.0,35.0,16.621391285820817
Gracie Barra Salt Lake City,84115,40.68905133,-111.88953433,5.0,8,brazilianjiujitsu,0,66410.7325890564,28411.0,61505.0,4155.0,33.9,14.62461722572243
212 Fitness,84109,40.700286,-111.82785,5.0,9,gyms,0,61231.010251200496,25879.0,136823.0,6598.0,35.8,25.49557556319796
Salty Hive CrossFit,84107,40.68298011500994,-111.8973243558197,5.0,6,gyms,0,67297.76677170402,37548.0,73469.0,6241.0,35.0,16.621391285820817
CrossFit EMC,84109,40.700243,-111.82569,4.5,8,intervaltraininggyms,0,61074.02912119472,25879.0,136823.0,6598.0,35.8,25.49557556319796
B Hines in Motion,84107,40.654787,-111.874791,4.8,5,healthtrainers,0,67190.59590699925,37548.0,73469.0,6241.0,35.0,16.621391285820817
Ultimate Combat Training Center,84106,40.698764,-111.854961,3.6,50,martialarts,0,63320.2271260216,33791.0,94452.0,8406.0,35.7,24.876446391050873
Epic Fitness,84106,40.70443,-111.84325,5.0,9,healthtrainers,0,62137.55945840539,33791.0,94452.0,8406.0,35.7,24.876446391050873
Woven Heart,84106,40.6993888,-111.86488367282114,5.0,5,yoga,0,64027.12861830697,33791.0,94452.0,8406.0,35.7,24.876446391050873
HEL Fitness,84310,41.3049,-111.83344,5.0,3,pilates,0,65870.1760697211,5002.0,143137.0,1005.0,39.7,20.091963214714113
CrossFit SpearHead,84117,40.67249,-111.84214,5.0,3,intervaltraininggyms,0,63814.869629275854,24873.0,87451.0,5831.0,41.1,23.443090901781048
Valley Physical Therapy,84310,41.30043613459913,-111.81567241363126,5.0,5,physicaltherapy,0,64350.337155854824,5002.0,143137.0,1005.0,39.7,20.091963214714113
The Club Fitness Center at Wolf Creek Resort,84310,41.3276857657938,-111.824286634116,5.0,3,gyms,0,66717.48533832542,5002.0,143137.0,1005.0,39.7,20.091963214714113
Mindful & Embodied,84115,40.69363,-111.88237,4.5,2,yoga,0,65641.21864677031,28411.0,61505.0,4155.0,33.9,14.62461722572243
Club Pilates,84106,40.7022531,-111.8589682,3.9,14,pilates,0,63437.5951366903,33791.0,94452.0,8406.0,35.7,24.876446391050873
Adam Pedicini Fitness,84341,41.7773889,-111.7972384,5.0,4,healthtrainers,0,69632.61074912739,25791.0,64045.0,3239.0,25.6,12.558644488387422
Hyde Park Fitness,84318,41.80459285269341,-111.8359820370892,5.0,1,gyms,0,73772.88881009116,5468.0,108239.0,949.0,31.3,17.355523043160204
EōS Fitness,84117,40.650493,-111.86739,3.2,91,gyms,0,72400.70433927787,24873.0,87451.0,5831.0,41.1,23.443090901781048
The Front Climbing Club - South Main,84107,40.68161179115595,-111.89140537116448,3.6,19,gyms,0,70506.21907290489,37548.0,73469.0,6241.0,35.0,16.621391285820817
The Pilates Body,84414,41.2877,-111.96877,5.0,4,pilates,0,45423.3372429195,33288.0,108345.0,5251.0,33.3,15.774453256428744
ModusFit,84106,40.699463,-111.852257,5.0,3,healthtrainers,0,67069.03163578462,33791.0,94452.0,8406.0,35.7,24.876446391050873
The Sports Mall,84117,40.6522775,-111.8650777,3.2,35,tennis,0,72132.38092118462,24873.0,87451.0,5831.0,41.1,23.443090901781048
The Winner School,84121,40.7034447,-111.8317341,4.1,9,preschools,0,65800.47174919666,39204.0,114912.0,9072.0,40.1,23.140495867768596
KG Strength & Recovery,84109,40.7001400670513,-111.819661,5.0,3,healthtrainers,0,65611.55199560543,25879.0,136823.0,6598.0,35.8,25.49557556319796
Salt City Calisthenics,84020,40.5002534337339,-111.86741895704024,0.0,0,healthtrainers,0,379.7573321934437,50159.0,130680.0,10308.0,33.7,20.550648936382306
Limitless Fitness,84020,40.5002534337339,-111.86741895704024,0.0,0,healthtrainers,0,379.7573321934437,50159.0,130680.0,10308.0,33.7,20.550648936382306
"Balanced Body, MD",84020,40.5376899801518,-111.892306117197,0.0,0,weightlosscenters,0,4981.753820017318,50159.0,130680.0,10308.0,33.7,20.550648936382306
Premier Martial Arts,84020,40.529326188716944,-111.85531233470977,0.0,0,karate,0,3484.2281731848166,50159.0,130680.0,10308.0,33.7,20.550648936382306
Stretch Zone,84020,40.52518,-111.91909,3.0,4,healthtrainers,0,5552.2980652161705,50159.0,130680.0,10308.0,33.7,20.550648936382306
VASA Fitness Murray - Van Winkle,84117,40.6512201,-111.8513062,1.9,220,gyms,0,17000.225142855827,24873.0,87451.0,5831.0,41.1,23.443090901781048
Beau'd NOT Broken,84020,40.529565,-111.912524,0.0,0,healthtrainers,0,5388.3629931356345,50159.0,130680.0,10308.0,33.7,20.550648936382306
Crown BJJ,84065,40.483042189795015,-111.91534510703526,0.0,0,selfdefenseclasses,0,4715.367160938704,50284.0,122809.0,7706.0,35.0,15.32495425980431
EIM Specialists,84020,40.5283585,-111.8697662,0.0,0,healthtrainers,0,3347.4686397980313,50159.0,130680.0,10308.0,33.7,20.550648936382306
Fit Factory,84020,40.5252331024587,-111.8682078,0.0,0,gyms,0,2986.87287799595,50159.0,130680.0,10308.0,33.7,20.550648936382306
Soul Journey Healing Collective,84020,40.52893,-111.9021636,0.0,0,yoga,0,4693.127915081502,50159.0,130680.0,10308.0,33.7,20.550648936382306
Dynasty Athletics,84020,40.527794,-111.878408,0.0,0,healthtrainers,0,3477.315315202053,50159.0,130680.0,10308.0,33.7,20.550648936382306
JerQA,84020,40.52557,-111.86167,0.0,0,healthtrainers,0,3022.057303072496,50159.0,130680.0,10308.0,33.7,20.550648936382306
Hardbodiez Gym,84065,40.48976,-111.91834,0.0,0,gyms,0,4742.117441216171,50284.0,122809.0,7706.0,35.0,15.32495425980431
Flaming Gorge Crossfit,82901,41.574371,-109.250198,5.0,1,intervaltraininggyms,0,82762.15836631296,,,,,
Planet Fitness,82901,41.57526008297454,-109.2370004388593,3.0,5,gyms,0,82888.51711814142,,,,,
Iron Cowboy CrossFit,82901,41.567848,-109.246376,0.0,0,healthtrainers,0,82030.4829676366,,,,,
Rock Island Gym,82901,41.57481147454354,-109.2496169,0.0,0,gyms,0,82763.72351212298,,,,,
