id,name,zip_code,city,latitude,longitude,rating,review_count,category,distance,is_closed,has_hours,has_transactions,price,total_pop,median_income,median_age,median_home_value,total_households,pct_bachelors,pct_prime_gym_age,competition_1km,competition_3km,competition_5km,is_thriving,log_review_count,success_score,gyms_in_zip,market_gap
IFsNpfJ4Cu2jO1TWJ19-pA,Studio Nine,84401,West Haven,41.18095965647054,-112.06272371861223,0.0,0,cardioclasses,1153.310117593916,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,3,7,23,,0.0,0.0,19,64425.0
zmVQCF2CfEK2V23a0MpAWA,The Warrior's Way,84067,Roy,41.17163087669629,-112.04790773721597,0.0,0,c_and_mh,815.7854455901174,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,0,15,23,,0.0,0.0,13,65314.28571428572
ePT_kqjdcCrW2o2kI6mv1Q,Sky's Old School Martial Arts,84067,Roy,41.162425,-112.064864,0.0,0,martialarts,2244.4520404610385,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,1,9,20,,0.0,0.0,13,65314.28571428572
oQ09_2x2MbgQOTLEazsEUg,Power Promotions,84067,Roy,41.1656,-112.02732,0.0,0,gyms,2340.3075624438184,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,4,10,22,,0.0,0.0,13,65314.28571428572
YxlwjMIQJMOicsEsE07amQ,Northern Star Bounders,84401,West Haven,41.207478,-112.0287274,5.0,2,gyms,,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,1,4,21,,1.0986122886681098,0.601588439863031,19,64425.0
E-cYoIRwtlg7bCGmr9QCuw,Training for Warriors Ogden,84403,South Ogden,41.196975,-111.94954,5.0,1,healthtrainers,,0,1,0,0,37721.0,88236.0,34.8,422900.0,14033.0,14.689430290819438,25.150446700776758,0,10,29,,0.6931471805599453,0.5640951693284909,14,63246.66666666667
DscjdwiBpucGFTswMdJ2Sw,Kratos Fitness & Performance Group,84403,Ogden,41.18374,-111.94993,5.0,1,healthtrainers,,0,1,0,0,37721.0,88236.0,34.8,422900.0,14033.0,14.689430290819438,25.150446700776758,1,13,26,,0.6931471805599453,0.5640951693284909,14,63246.66666666667
4QnCLnzAS8jHOH9pEQHXOQ,Erik's Martial Arts,84067,Roy,41.1766251815523,-112.065235515809,0.0,0,martialarts,1364.29279009779,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,3,8,22,,0.0,0.0,13,65314.28571428572
yigPMXV6FwDfZ2B3cq2YgA,Salomon Center,84401,Ogden,41.22554,-111.97168,3.6,8,amateursportsteams,,0,1,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,8,17,25,,2.1972245773362196,0.563176879726062,19,64425.0
OAdO7NctEZ_2zslkcJ58Vw,The Gym,84067,Roy,41.21389,-112.03018,0.0,0,gyms,2155.5204534785066,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,2,4,18,,0.0,0.0,13,65314.28571428572
