category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,is_thriving,id,name,zip_code,latitude,longitude
general_gym,0,130331.0,613100.0,23.7,16.63254749169033,20.605780448612123,45429.0,6,10,55064.70588235295,0.3521979352396047,11848.272727272728,0.0,OdmBJUxHCNEbVKknAs_caw,Vasa Fitness - Saratoga Springs,84045,40.386091875502274,-111.91477663422482
general_gym,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,3,21,30328.571428571428,0.5190491020450535,5771.272727272727,1.0,PQ598DloUsKXAm59zvwULw,Orangetheory Fitness,84095,40.5425,-111.9809
mind_body,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,3,21,30328.571428571428,0.5190491020450535,5771.272727272727,1.0,AMupsdwhvpzt0NPoE16YOg,Suvita Hot Yoga South Jordan,84095,40.5418192,-111.9807949
martial_arts,0,122881.0,586800.0,29.7,16.3840596222672,23.319437556130453,74603.0,4,20,124264.28571428572,0.1742557269814887,5851.476190476191,1.0,LUpahPVj4PPjx16HJZay-A,Legends Boxing - Riverton,84096,40.523884,-111.9869487
martial_arts,0,105142.0,482500.0,34.5,12.977974915876414,21.211889466707454,39228.0,2,16,37822.72727272727,0.5353319057815846,6184.823529411765,1.0,CKfaS2VWHYu3KYMzitXa9A,Championship Martial Arts,84088,40.58872940883538,-111.9569723185938
martial_arts,0,122881.0,586800.0,29.7,16.3840596222672,23.319437556130453,74603.0,5,9,124264.28571428572,0.1742557269814887,12288.1,1.0,cJFIgSJW55gbzaTFybwgxA,Bobby Lawrence Karate,84096,40.51168,-112.02562
general_gym,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,4,19,30328.571428571428,0.5190491020450535,6348.4,0.0,P795GZKU4xQEhUpr1ecxgQ,EōS Fitness,84095,40.55932,-111.97322
martial_arts,0,122881.0,586800.0,29.7,16.3840596222672,23.319437556130453,74603.0,3,16,124264.28571428572,0.1742557269814887,7228.294117647059,1.0,WOeVx7k4iEC6sTwtlRitWQ,Rumble Boxing,84096,40.50841599606977,-111.99818008703308
general_gym,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,4,15,30328.571428571428,0.5190491020450535,7935.5,0.0,QYUflwESFmst9e3-lbYW9Q,VASA Fitness - South Jordan,84095,40.5603617714957,-111.9792338872595
general_gym,0,128192.0,632100.0,34.3,16.644342893161046,18.113772455089823,50768.0,2,6,65685.71428571429,0.25606681374093915,18313.14285714286,0.0,JCAN-9h2kbDYqnt27AzyFQ,VASA Fitness - Riverton,84065,40.521017,-111.940329
general_gym,0,122881.0,586800.0,29.7,16.3840596222672,23.319437556130453,74603.0,5,9,124264.28571428572,0.1742557269814887,12288.1,0.0,TSwe3X4vG4VBEto-9tai5Q,VASA Fitness - Herriman,84096,40.50967,-112.02465
mind_body,0,102445.0,526300.0,32.8,19.112030893302897,22.3848435066459,46871.0,14,23,47690.90909090909,0.4480382325958482,4268.541666666667,1.0,kHhEHmunSB7cYSZeFQo3Cg,Infusion Yoga & Pilates,84010,40.8838857,-111.8871721
personal_training,0,102445.0,526300.0,32.8,19.112030893302897,22.3848435066459,46871.0,13,23,47690.90909090909,0.4480382325958482,4268.541666666667,1.0,6S_AGvxCWfnPc3IAhE0cyw,Orangetheory Fitness,84010,40.883925,-111.882582
martial_arts,0,101860.0,505500.0,32.6,17.620219190337732,20.912547528517113,22355.0,1,12,51944.44444444445,0.35786177588906287,7835.384615384615,1.0,AfTnp-dfdrfFKlKAV7TEeg,Jeon's World Martial Arts,84054,40.8515893,-111.9118372
general_gym,0,102445.0,526300.0,32.8,19.112030893302897,22.3848435066459,46871.0,1,24,47690.90909090909,0.4480382325958482,4097.8,0.0,PrmP4BcjzTL6PHCx8Mp6gw,South Davis Recreation Center,84010,40.8953397,-111.883583
personal_training,0,72735.0,499300.0,31.8,23.89937106918239,48.15051700245176,9381.0,7,46,19639.130434782608,2.3451657605798957,1547.5531914893618,1.0,U32L76cQU5ALKveCK9yi6w,Unite Fitness Retreat,84101,40.766872,-111.901104
mind_body,0,52952.0,440200.0,32.6,25.77843842904084,44.10107964324832,12782.0,15,55,37580.0,1.095290251916758,945.5714285714286,1.0,J6gCLztYZ9eW2Q16Yqdvgg,Salt Lake Power Yoga,84111,40.762481,-111.88385
mind_body,0,52952.0,440200.0,32.6,25.77843842904084,44.10107964324832,12782.0,15,55,37580.0,1.095290251916758,945.5714285714286,1.0,mt399YvS9tpeUfJbtHZa3w,PEAK 45,84111,40.76282250102699,-111.88405327531088
general_gym,0,72735.0,499300.0,31.8,23.89937106918239,48.15051700245176,9381.0,14,44,19639.130434782608,2.3451657605798957,1616.3333333333333,1.0,wzHhnR12LZtQwiJ09h1Q9g,Salt Lake City Crossfit,84101,40.755946,-111.907846
other,0,72735.0,499300.0,31.8,23.89937106918239,48.15051700245176,9381.0,19,47,19639.130434782608,2.3451657605798957,1515.3125,1.0,SKxT_n9Ms2DUc3IWMy8KlQ,Mcycle,84101,40.760108,-111.901675
