category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,success_score,id,name,zip_code,latitude,longitude
personal_training,0,84106.0,425100.0,33.0,12.79797805732667,23.22649204434488,34818.0,5,13,115528.57142857143,0.17232465965879717,6007.571428571428,0.0,wmJWLBjzVu1UVDanFFLUHQ,Ogden Athletic Club,84405,41.1573741,-111.94998640793456
mind_body,0,84106.0,425100.0,33.0,12.79797805732667,23.22649204434488,34818.0,4,12,115528.57142857143,0.17232465965879717,6469.692307692308,0.4488243744103859,-wda4O0Pl8D0G2rdTS09gg,Club Pilates,84405,41.15114699999999,-111.9362267
general_gym,0,85057.0,396800.0,34.3,10.85647348581555,21.90818027542914,66587.0,0,1,145880.0,0.13516151801402676,42528.5,0.4640951693284909,2xM4gvDJ52OKFarwrZoiUQ,Elevated Fitness,84404,41.328857,-112.033741
mind_body,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,9,12,45621.42857142857,0.3786334245936972,8833.307692307691,0.5640951693284909,MS5WfEB2isD9_Fb6yl89cQ,Studio Reve Pilates,84414,41.30101,-111.97
other,0,85057.0,396800.0,34.3,10.85647348581555,21.90818027542914,66587.0,0,3,145880.0,0.13516151801402676,21264.25,0.0,vvTG74alOzwjE7hHNTB-Wg,Jazzercise - Pleasant View,84404,41.307756698921146,-112.01508598226016
martial_arts,0,88236.0,422900.0,34.8,14.689430290819438,25.15044670077676,37721.0,6,13,63246.66666666667,0.37114604596908884,6302.571428571428,0.0,nfAmkecC48BZ04Qaoe_glQ,Kuro-obi Dojo,84403,41.162549,-111.942172
personal_training,0,88236.0,422900.0,34.8,14.689430290819438,25.15044670077676,37721.0,8,13,63246.66666666667,0.37114604596908884,6302.571428571428,0.0,pdIuuLZNZjnvC050OH9arQ,Body Smart,84403,41.15916,-111.94295
general_gym,0,84106.0,425100.0,33.0,12.79797805732667,23.22649204434488,34818.0,8,12,115528.57142857143,0.17232465965879717,6469.692307692308,0.0,59E6EMslsDe_rv4ZMeAbxQ,Smart Gym,84405,41.154483795166,-111.943923950195
personal_training,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,7,14,45621.42857142857,0.3786334245936972,7655.533333333334,0.0,Ip08mppZtc8rz8CnimfOkA,Q-Fit Training Zone,84414,41.29411,-111.9677
general_gym,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,1,12,45621.42857142857,0.3786334245936972,8833.307692307691,0.0,jt7G3boZwaXVRL7eQwEPFg,Orangetheory Fitness,84414,41.3090417,-111.993455
